,name,image,keys,points,calories,summary
0,Free 7 Day Healthy Meal Plan (Sept 23-29),https://www.skinnytaste.com/wp-content/uploads/2024/09/Week_453_Sep-23-Sep-29-260x390.jpg,[],,,"A free 7-day, flexible weight loss meal plan including breakfast, lunch and dinner ideas and a shopping list. All recipes include macros and Weight Watchers points."
1,Apple Butter,https://www.skinnytaste.com/wp-content/uploads/2024/09/Apple-Butter-7-260x390.jpg,"['DF', 'GF', 'KF', 'V']",1,34.0,"This easy apple butter recipe simmers on the stove, made with apples, cinnamon, nutmeg, and allspice, it smells and tastes like fall!"
2,Roasted Delicata Squash,https://www.skinnytaste.com/wp-content/uploads/2024/09/Roasted-Delicata-Squash-with-Toasted-Almond-Crumbs-9-260x390.jpg,"['DF', 'GF', 'V']",4,177.0,"Roasted Delicata Squash with toasted almonds, sweetened with maple syrup and seasoned with sage and paprika, makes a perfect fall side dish."
3,Apple Bread,https://www.skinnytaste.com/wp-content/uploads/2014/09/Apple-Bread-3-260x390.jpg,['V'],4,124.0,"Moist cinnamon apple bread recipe made with applesauce, small chunks of fresh apples and walnuts in every bite. It’s so moist and delicious, you won’t believe it’s light!"
4,Autumn Salad with Pears and Gorgonzola,https://www.skinnytaste.com/wp-content/uploads/2008/10/Autumn-Salad-with-Pears-and-Gorgonzola-5-260x390.jpg,"['GF', 'LC', 'Q', 'V']",5,175.0,"I love a good salad with lots of texture and flavors, and this Autumn Salad nails it. Sweet pears, honey Dijon dressing, crunchy pecans, and creamy gorgonzola cheese create a delicious fall dish that’s hard to resist."
5,Sesame Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/09/Sesame-Chicken-13-260x390.jpg,"['DF', 'FM', 'GF', 'HP']",9,513.0,"This lighter Sesame Chicken recipe features chicken breast bites in a sweet, savory, tangy, and slightly spicy sauce topped with sesame seeds and green onions."
6,Bacon in the Oven,https://www.skinnytaste.com/wp-content/uploads/2024/09/Bacon3ways-260x390.png,"['DF', 'GF', 'HP', 'KF', 'LC', 'Q', 'W']",2,60.0,"Whether you’re a fan of tender, crisp, or extra crispy bacon, this simple method of cooking bacon in the oven is easy. There’s no stovetop mess, and it frees up your stove for cooking other breakfast items!"
7,Pumpkin Spice Latte,https://www.skinnytaste.com/wp-content/uploads/2010/10/Pumpkin-Spice-Latte-6-260x390.jpg,"['DF', 'GF', 'V']",7,115.0,"Embrace all the cozy fall vibes with a homemade Pumpkin Spice Latte! This easy recipe tastes just like the original, but for a fraction of the cost."
8,Homemade Hamburger Helper,https://www.skinnytaste.com/wp-content/uploads/2024/09/Homemade-Hamburger-Helper-7-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'Q']",12,453.0,"This one-skillet, creamy Homemade Hamburger Helper is made with ground beef, macaroni and cheese – real ingredients you can feel good about feeding your family for dinner!"
9,Fried Brown Rice,https://www.skinnytaste.com/wp-content/uploads/2024/08/Brown-Fried-Rice-9-260x390.jpg,"['DF', 'GF', 'HF', 'Q', 'V']",6,276.0,Fried Brown Rice is a healthy twist on classic fried rice with some extra hidden veggies to bulk it up. Just add your favorite protein to make it a meal!
10,16+ Easy Sheet Pan Dinners,https://www.skinnytaste.com/wp-content/uploads/2024/08/sheet-pan-dinners-260x390.png,"['GF', 'LC', 'MP']",,,"My favorite sheet pan dinners make it easy to have a delicious home-cooked meal on the table, every night of the week. These healthy sheet pan recipes are totally fuss-free. Line your pans for speedy cleanup!"
11,Asian Grilled Chicken,https://www.skinnytaste.com/wp-content/uploads/2008/05/Asian-Grilled-Chicken-7-260x390.jpg,"['DF', 'GF', 'KF', 'LC']",4,288.5,"This Asian Grilled Chicken recipe is the perfect excuse to grill or use your indoor grill pan, an easy high-protein dinner idea!"
12,Sweet Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Sweet-Potato-Avocado-Salad-16-260x390.jpg,"['DF', 'GF', 'HF', 'MP', 'V', 'W']",8,290.0,"This healthy Sweet Potato Salad with avocado combines sweet, creamy, warm, and cold elements and can be enjoyed warm or cold. It’s a great vegetarian meal or side dish."
13,Ratatouille,https://www.skinnytaste.com/wp-content/uploads/2024/08/Ratatouille-6-1-260x390.jpg,"['DF', 'GF', 'MP', 'V']",2,115.0,"Ratatouille is the perfect summer side dish for your favorite roasted chicken, grilled meats, or fish! It adds a burst of color and flavor to every meal."
14,36+ Best Air Fryer Chicken Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/09/air-fryer-chicken-recipes-260x390.png,['AF'],,,"From classics like air fryer chicken tenders and air fryer chicken nuggets to healthier versions of dishes like chicken parmesan, you’ll find so many recipes to love in this round-up of the best air fryer chicken recipes."
15,Pretzel Crusted Chicken Tenders,https://www.skinnytaste.com/wp-content/uploads/2024/08/Pretzel-Chicken-Fingers-with-Honey-Mustard-13-260x390.jpg,"['AF', 'DF', 'FM', 'GF', 'HP', 'KF']",4,267.0,"Craving something crispy, kid-friendly, and absolutely delicious? Make these easy Pretzel Crusted Chicken Tenders with honey mustard! Baked or Air Fryer!"
16,Lemon Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2024/07/Lemon-Viniagrette-5-260x390.jpg,"['DF', 'GF', 'LC', 'MP', 'Q', 'V']",5,123.0,"This is my go-to Lemon Vinaigrette recipe. I love it over any salad, from simple green salads, Cobb salad and even over roasted veggies. It’s bright, healthy, and can be made ahead."
17,Slow Cooker Beef Stew,https://www.skinnytaste.com/wp-content/uploads/2024/07/Slow-Cooker-Beef-Stew-7-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'MP', 'SC']",7,356.0,Slow Cooker Beef Stew is the ultimate comfort food! It’s perfect for those crisp fall evenings or chilly winter days when you crave something hearty and satisfying.
18,Deviled Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Lazy-Deviled-Egg-Salad-13-260x390.jpg,"['AF', 'GF', 'HP', 'LC', 'MP', 'V']",3,215.0,"This lazy Deviled Egg Salad takes a classic appetizer and turns it into a quick lunch! It has the same ingredients but no piping or filling. Simply mix it all together and serve it with a spoon, on toast or a rice cake."
19,Shrimp and Rice (Arroz Con Camarones),https://www.skinnytaste.com/wp-content/uploads/2024/08/Arroz-Con-Camarones-12-260x390.jpg,"['DF', 'GF', 'HP']",9,433.0,Costa Rican Inspired Shrimp and Rice (Arroz Con Camarones) is a traditional Costa Rican recipe that’s so easy and flavorful!
20,Bruschetta Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2024/07/Bruschetta-Pasta-Salad-8-260x390.jpg,"['MP', 'Q', 'V']",10,364.0,"Serve this delicious Bruschetta Pasta Salad at your next BBQ or summer party. It’s the perfect light summer dish loaded with in-season plum tomatoes, mozzarella, basil, and a drizzle of balsamic glaze."
21,Watermelon Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-7-260x390.jpg,"['GF', 'Q', 'V']",2,85.0,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ!"
22,Coconut Popsicles,https://www.skinnytaste.com/wp-content/uploads/2009/06/Coconut-Pops_19-260x390.jpg,"['GF', 'KF']",5,106.0,"These homemade coconut popsicles are rich, creamy, and super simple to make! They’re the perfect summertime refresher."
23,Sheet Pan Shrimp with Corn and Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2024/07/Old-Bay-Sheen-Pan-Shrimp-with-Corn-and-Tomatoes-5-260x390.jpg,"['DF', 'GF', 'HP', 'Q']",3,295.0,"This Sheet Pan Shrimp with Corn and Tomatoes is the perfect one-pan summer dinner, with easy cleanup!"
24,Strawberry Yogurt Bark,https://www.skinnytaste.com/wp-content/uploads/2024/07/Strawberry-Yogurt-Bark-10-260x390.jpg,"['DF', 'GF', 'KF', 'V']",2,60.0,"If you’re looking for a healthy snack with some added protein for the kids this summer, you’ll love this strawberry yogurt bark!"
25,Broccoli Cauliflower Salad,https://www.skinnytaste.com/wp-content/uploads/2008/12/Broccoli-and-Cauliflower-Salad-with-Capers-and-Lemon-Vinaigrette-5-260x390.jpg,"['DF', 'GF', 'LC', 'MP', 'Q', 'V']",2,97.0,"This Broccoli Cauliflower Salad recipe is quick and easy, ideal for warmer weather or if you’re looking for a different way to prepare broccoli."
26,Juicy Grilled Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Pork-Chops-13-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'LC']",5,272.0,Juicy Grilled Pork Chops are brined in a saltwater solution and then seasoned with a flavorful dry rub to create the most delicious pork chops!
27,Grilled Eggplant with Feta,https://www.skinnytaste.com/wp-content/uploads/2024/07/Grilled-Eggplant-with-Feta-7-260x390.jpg,"['GF', 'LC', 'Q', 'V']",3,106.0,"If you need an easy side dish this summer, this grilled eggplant with feta cheese is great with anything you’re grilling."
28,"20+ Amazon Prime Day Deals I Love on Air Fryers, My Cookbooks, and More",https://www.skinnytaste.com/wp-content/uploads/2024/07/Amazon-Prime-Day-Sale-260x390.png,[],,,"Although Amazon has a few big sales throughout the year, its summer Prime Day sale is still its biggest one, and it’s happening now! This is the best time to get a new kitchen gadget you’ve been eyeing, stock up on my cookbooks, and grab your favorite skincare products while they’re at a great price. I’ve already shopped the sale, and found some great deals from KitchenAid, Vitamix, and more! Plus, I’ll be updating this post as new deals pop up!"
29,Korean Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/06/Korean-Grilled-Chicken-Breast-10-260x390.jpg,"['DF', 'GF', 'HP', 'Q']",2,180.0,"These grilled Korean Chicken Breasts are juicy, sweet, and spicy! I grill them all year, using my indoor grill pan when it’s cold."
30,Blueberry Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2024/07/Blueberry-Zucchini-Bread-10-260x390.jpg,"['FM', 'KF', 'V']",4,111.0,"This moist and delicious Blueberry Zucchini Bread is low-fat, lightly sweetened, and loaded with summer zucchini and blueberries. Perfect for breakfast or as a snack!"
31,15 Perfect Pasta Salad Recipes,https://www.skinnytaste.com/wp-content/uploads/2024/07/pasta-salad-recipes-260x390.png,['KF'],,,"These pasta salad recipes are fantastic for parties and potlucks, but equally good for weekday lunches! Grab the recipes, plus tips for making your pasta salads perfect."
32,Green Goddess Dressing,https://www.skinnytaste.com/wp-content/uploads/2009/09/Green-Goddess-Dressing_08-260x390.jpg,"['GF', 'LC']",1,60.3,Creamy and herbaceous basil green goddess dressing is the perfect way to give your next salad an upgrade! Fresh basil makes this dressing a standout.
33,Watermelon Cucumber Granita,https://www.skinnytaste.com/wp-content/uploads/2024/07/Watermelon-Cucumber-Granita-5-260x390.jpg,"['DF', 'GF', 'V']",0,38.0,"Cool off with this refreshing 4-ingredient, Watermelon Cucumber Granita. Easy to make, and no special equipment needed!"
34,High Protein Whipped Cottage Cheese Bowls,https://www.skinnytaste.com/wp-content/uploads/2024/06/High-Protein-Cottage-Cheese-Pudding-7-260x390.jpg,"['GF', 'HP', 'MP', 'Q', 'V']",6,328.0,"These quick and easy, high-protein Whipped Cottage Cheese Bowls, topped with fruit and almonds, are perfect for breakfast or as a snack."
35,Hot Crab Dip,https://www.skinnytaste.com/wp-content/uploads/2024/06/Crab-and-Corn-Dip-7-260x390.jpg,[],1,124.0,This hot crab dip with sweet summer corn and a butter cracker topping makes a delicious appetizer if you’re entertaining.
36,Virgin Mojito (Nojito),https://www.skinnytaste.com/wp-content/uploads/2010/06/Nojito-6-260x390.jpg,"['GF', 'LC', 'V']",0,13.0,"This sugar-free, virgin Mojito mocktail is refreshing when you want an adult cocktail, without the alcohol. Filled with lime, fresh mint and lemon-lime seltzer, they’re perfectly enjoyable to drink."
37,20 Must-Have Kitchen Tools for Healthy Eating,https://www.skinnytaste.com/wp-content/uploads/2023/04/14.-ninja-blender-260x390.jpg,[],,,"When it comes to healthy cooking, the first step is to find delicious recipes that will make you excited to spend time in the kitchen without depriving you of any flavor. I also find that the best kitchen tools for healthy eating make the cooking process more enjoyable and efficient. That’s why I’m bringing you my favorite kitchen tools and appliances to help bring my healthy recipes to life! "
38,Flounder Piccata,https://www.skinnytaste.com/wp-content/uploads/2011/12/Flounder-Piccata-5-260x390.jpg,['Q'],5,280.0,Flounder piccata is breaded and lightly pan fried served in a lemon butter sauce with capers and parsley. A delicious way to prepare fish!
39,Cucumber Soup,https://www.skinnytaste.com/wp-content/uploads/2024/06/Cucumber-Soup-8-260x390.jpg,"['GF', 'LC', 'V']",3,169.0,"A refreshing and light cold Cucumber Soup made with Greek yogurt and fresh herbs. It’s easy to make, no cooking or heating the kitchen, making it perfect for a hot summer day."
40,Soy-Marinated Beef and Broccoli Skewers,https://www.skinnytaste.com/wp-content/uploads/2024/06/Asian-Beef-and-Broccoli-Skewers-13-260x390.jpg,"['DF', 'GF', 'HP', 'KF']",5,199.0,"If you love beef and broccoli stir fry, you’ll love these soy-marinated Beef and Broccoli Skewers! A delicious summer dinner idea!"
41,Lobster Rolls,https://www.skinnytaste.com/wp-content/uploads/2022/07/Lobster-Rolls-9-260x390.jpg,"['HP', 'KF', 'Q']",5,223.0,"This Lobster Roll recipe screams summer to me! Made with chunks of chilled lobster tossed with celery, shallots, chives, light mayonnaise and a little lemon zest served on a hot dog bun – delicious!"
42,Shrimp Fajitas,https://www.skinnytaste.com/wp-content/uploads/2010/05/Shrimp-Fajitas-11-260x390.jpg,"['HP', 'HF', 'Q']",4,357.0,"These shrimp fajitas, seasoned with Chipotle chile powder, cilantro and lime make and easy, 30-minute dinner idea!"
43,Berry Buckle,https://www.skinnytaste.com/wp-content/uploads/2024/06/Berry-Buckle-8-260x390.jpg,['KF'],5,145.0,"This Mixed Berry Buckle, a rustic cake loaded with juicy, seasonal blueberries, raspberries, and blackberries, is the perfect summer dessert."
44,"Orzo with Bacon, Leeks, Peas, Spinach and Lemon",https://www.skinnytaste.com/wp-content/uploads/2024/06/Orzo-with-Bacon-Peas-Spinach-and-Lemon-8-260x390.jpg,['Q'],7,314.0,"This easy Orzo with Bacon, Leeks, Peas, Spinach and Lemon is a one-pot meal that’s sure to become a regular on your dinner rotation!"
45,Grilled Shrimp Tacos with Peach Salsa,https://www.skinnytaste.com/wp-content/uploads/2024/06/Grilled-Shrimp-Tacos-10-260x390.jpg,"['DF', 'GF', 'HP']",6,296.0,These easy grilled shrimp tacos with sweet and juicy peach salsa are the perfect way to bring summer to your dinner table!
46,Air Fryer Boneless Chicken Thighs,https://www.skinnytaste.com/wp-content/uploads/2024/06/Air-Fryer-Chicken-Thighs-7-260x390.jpg,"['AF', 'GF', 'HP', 'KF', 'LC', 'MP']",6,384.0,The secret to making the juiciest boneless chicken thighs in the air fryer is marinating them with yogurt. They come out delicious!
47,30 Awesome Last Minute Father’s Day Gifts You Can Still Get,https://www.skinnytaste.com/wp-content/uploads/2023/05/13.-Ooni-Pizza-Oven-260x390.jpg,[],,,"I’ve rounded up some of the best Father’s Day gifts for the men in your life based on things I would personally give my husband, Tommy. No matter what the guy in your life is into, whether it’s cooking, working out, or hanging with the family, there’s something for them here."
48,21 Summer Dinner Ideas,https://www.skinnytaste.com/wp-content/uploads/2024/06/summer-dinner-ideas-260x390.png,[],,,"These summer dinner ideas are brimming with colorful fruits and vegetables and they come together in a snap. If you’re looking for easy recipes to add to your summertime rotation, look no further!"
49,Pan Bagnat,https://www.skinnytaste.com/wp-content/uploads/2024/06/pan-bagnet-11-260x390.jpg,"['DF', 'HP', 'MP', 'Q']",6,308.0,"Pan Bagnat is a protein-packed tuna sandwich from Nice, France. It’s like a handheld Salade Niçoise only without the potatoes and perfect for picnics or a make-ahead lunch!"
50,Grilled Skirt Steak and Elote Tacos,https://www.skinnytaste.com/wp-content/uploads/2024/06/skirt-steak-tacos-9-260x390.jpg,"['GF', 'HP', 'KF']",10,418.0,Grilled skirt steak tacos topped with Mexican street corn is a match made in heaven for an easy summer dinner idea!
51,Grilled Shrimp,https://www.skinnytaste.com/wp-content/uploads/2024/06/Garlic-Butter-Grilled-Shrimp-11-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'LC', 'Q']",3,202.0,This super easy grilled shrimp recipe with garlic butter is a family favorite and a win-win for busy weeknights!
52,Filipino BBQ Pork Skewers,https://www.skinnytaste.com/wp-content/uploads/2008/08/Filipino-BBQ-Pork-Skewers-4-260x390.jpg,"['DF', 'GF', 'HP', 'LC']",2,201.0,The unique ingredient that makes these Filipino BBQ Pork Skewers so good is a can of 7-Up soda! They’re perfect for summer grilling!
53,Grape Tomato Sauce,https://www.skinnytaste.com/wp-content/uploads/2012/07/Easy-Garden-Tomato-Sauce-7-260x390.jpg,"['DF', 'GF', 'KF', 'LC', 'Q', 'V']",1,73.0,"When grape tomatoes are overflowing in your garden, whip up a quick, easy tomato sauce! Grape or cherry tomatoes sauteed with olive oil, garlic, and fresh herbs are perfect over pasta, grilled chicken, or fish."
54,Korean Beef Recipe,https://www.skinnytaste.com/wp-content/uploads/2016/03/Korean-Beef-Rice-Bowls-6-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'Q']",13,394.0,"An easy and delicious Korean beef recipe is made with ground beef, served over rice with cucumbers and gochujang sauce. "
55,Gallo Pinto,https://www.skinnytaste.com/wp-content/uploads/2024/05/Gallo-Pinto-14-260x390.jpg,"['DF', 'GF', 'HF', 'KF', 'Q', 'V']",4,266.0,"Gallo Pinto is a Central American breakfast typically served with fried eggs, sour cream, and plantains. It’s made with leftover rice and black beans, so it’s quick to prepare."
56,My Favorite Memorial Day Sales You Can Still Get,https://www.skinnytaste.com/wp-content/uploads/2024/05/Le-Creuset-Enameled-Cast-Iron-Skinny-Grill-260x390.jpg,[],,,"Memorial Day signals the start of summer, grilling, and spending more time outside with our families. This long weekend also brings plenty of deals on kitchen products, summer fashion, and appliances. I’ve looked at some of the best Memorial Day sales from Amazon, Williams Sonoma, Walmart, and more and picked out some of my favorite cooking items that are on sale! I’m also currently shopping the Nordstrom Half Yearly Sale and saw discounts on some of my favorite sneakers and bags for summer! "
